ensemble,case,b,n,s,time_h,eke_25_90N_area_mass_weighted_m2_s-2
standard,BCwave_b1n1s-10,1.0,1,-10,145.0,0.0084711241846132
standard,BCwave_b1n1s-10,1.0,1,-10,146.0,0.0087980633811549
standard,BCwave_b1n1s-10,1.0,1,-10,147.0,0.0091381900741461
standard,BCwave_b1n1s-10,1.0,1,-10,148.0,0.0094753423762159
standard,BCwave_b1n1s-10,1.0,1,-10,149.0,0.0098248268222016
standard,BCwave_b1n1s-10,1.0,1,-10,150.0,0.0102039196551704
standard,BCwave_b1n1s-10,1.0,1,-10,151.0,0.0106006300319611
standard,BCwave_b1n1s-10,1.0,1,-10,152.0,0.0110044802256463
standard,BCwave_b1n1s-10,1.0,1,-10,153.0,0.011422050500446
standard,BCwave_b1n1s-10,1.0,1,-10,154.0,0.0118547874569508
standard,BCwave_b1n1s-10,1.0,1,-10,155.0,0.0123059340585314
standard,BCwave_b1n1s-10,1.0,1,-10,156.0,0.0127858757081694
standard,BCwave_b1n1s-10,1.0,1,-10,157.0,0.0132918511146096
standard,BCwave_b1n1s-10,1.0,1,-10,158.0,0.0138114903129028
standard,BCwave_b1n1s-10,1.0,1,-10,159.0,0.0143448346020827
standard,BCwave_b1n1s-10,1.0,1,-10,160.0,0.0149011357542345
standard,BCwave_b1n1s-10,1.0,1,-10,161.0,0.0154848910414945
standard,BCwave_b1n1s-10,1.0,1,-10,162.0,0.0160938311978365
standard,BCwave_b1n1s-10,1.0,1,-10,163.0,0.0167286767452603
standard,BCwave_b1n1s-10,1.0,1,-10,164.0,0.0173910953126387
standard,BCwave_b1n1s-10,1.0,1,-10,165.0,0.0180815674807603
standard,BCwave_b1n1s-10,1.0,1,-10,166.0,0.0188010505184927
standard,BCwave_b1n1s-10,1.0,1,-10,167.0,0.0195514244878599
standard,BCwave_b1n1s-10,1.0,1,-10,168.0,0.0203316237869995
standard,BCwave_b1n1s-10,1.0,1,-10,169.0,0.0211440350884034
standard,BCwave_b1n1s-10,1.0,1,-10,170.0,0.0219928023973985
standard,BCwave_b1n1s-10,1.0,1,-10,171.0,0.0228784436991151
standard,BCwave_b1n1s-10,1.0,1,-10,172.0,0.0237998950618845
standard,BCwave_b1n1s-10,1.0,1,-10,173.0,0.0247618758751475
standard,BCwave_b1n1s-10,1.0,1,-10,174.0,0.0257665697533594
standard,BCwave_b1n1s-10,1.0,1,-10,175.0,0.0268127207553703
standard,BCwave_b1n1s-10,1.0,1,-10,176.0,0.0279057030390086
standard,BCwave_b1n1s-10,1.0,1,-10,177.0,0.0290448770032461
