ensemble,case,b,n,s,initial_eady_25_90N_area_mass_weighted_day-1,eady_valid_weight_fraction,latitude_requested_min_deg,latitude_requested_max_deg,latitude_grid_min_deg,latitude_grid_max_deg,pressure_top_hpa,pressure_bottom_hpa
standard,BCwave_b15n3s10,1.5,3,10,0.2559667778798869,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b15n6s-10,1.5,6,-10,0.17881913650515183,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b15n6s-5,1.5,6,-5,0.19928183164377644,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b15n6,1.5,6,0,0.2055677607775041,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b15n6s5,1.5,6,5,0.20239130288613802,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b15n6s10,1.5,6,10,0.19237641837713687,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b2n1s-10,2.0,1,-10,0.34179187229075886,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b2n1s-5,2.0,1,-5,0.3801158606549103,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b2n1,2.0,1,0,0.40507695046965747,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b2n1s5,2.0,1,5,0.4140463107090515,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b2n1s10,2.0,1,10,0.4060391107081695,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b2n3s-10,2.0,3,-10,0.24894678581794089,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b2n3s-5,2.0,3,-5,0.2820683136819234,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b2n3,2.0,3,0,0.29804565919383336,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b2n3s5,2.0,3,5,0.2982245390709677,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b2n3s10,2.0,3,10,0.2857540058991708,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b2n6s-10,2.0,6,-10,0.19678166058481583,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b2n6s-5,2.0,6,-5,0.21970105618544308,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b2n6,2.0,6,0,0.22731880773908958,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b2n6s5,2.0,6,5,0.224576616698891,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
standard,BCwave_b2n6s10,2.0,6,10,0.21419525139167833,1.0,25.0,90.0,25.5,89.5,10.0,1000.0
