ensemble,case,b,n,s,pressure_hpa,initial_zonal_wind_at_jet_core_m_s-1,initial_eady_growth_rate_day-1,initial_jet_core_latitude_deg
standard,BCwave_b1n6s-10,1.0,6,-10,500.0,14.998485194312202,0.03142422531458136,34.5
standard,BCwave_b1n6s-10,1.0,6,-10,600.0,13.751663690143161,0.270646299367103,34.5
standard,BCwave_b1n6s-10,1.0,6,-10,700.0,10.968113202518888,0.4590029215180244,34.5
standard,BCwave_b1n6s-10,1.0,6,-10,850.0,5.5323092526859705,0.6374591647120775,34.5
standard,BCwave_b1n6s-10,1.0,6,-10,925.0,2.7170055124494765,0.6948251276485763,34.5
standard,BCwave_b1n6s-10,1.0,6,-10,975.0,0.8987934230102433,0.7078886426954436,34.5
standard,BCwave_b1n6s-10,1.0,6,-10,1000.0,0.018478699336360982,0.7051298951897738,34.5
standard,BCwave_b1n6s-5,1.0,6,-5,10.0,0.01612985040329578,0.00535091560888738,39.5
standard,BCwave_b1n6s-5,1.0,6,-5,50.0,0.02831707453652699,0.006009174094948663,39.5
standard,BCwave_b1n6s-5,1.0,6,-5,100.0,0.40509632726510364,0.04644967812888188,39.5
standard,BCwave_b1n6s-5,1.0,6,-5,150.0,1.8056723531749514,0.15641204586751492,39.5
standard,BCwave_b1n6s-5,1.0,6,-5,200.0,4.213394624657101,0.2864599390817466,39.5
standard,BCwave_b1n6s-5,1.0,6,-5,250.0,7.095808291435242,0.3653483119749079,39.5
standard,BCwave_b1n6s-5,1.0,6,-5,300.0,9.888833906915453,0.36924937821821996,39.5
standard,BCwave_b1n6s-5,1.0,6,-5,400.0,13.860055867830912,0.21407708567245878,39.5
standard,BCwave_b1n6s-5,1.0,6,-5,500.0,15.002629878785875,0.033921003311205886,39.5
standard,BCwave_b1n6s-5,1.0,6,-5,600.0,13.756051015853881,0.29356366232452585,39.5
standard,BCwave_b1n6s-5,1.0,6,-5,700.0,10.972123901049295,0.5044309760684217,39.5
standard,BCwave_b1n6s-5,1.0,6,-5,850.0,5.534876725408766,0.7149591631646524,39.5
standard,BCwave_b1n6s-5,1.0,6,-5,925.0,2.7187087072266474,0.7844891991724523,39.5
standard,BCwave_b1n6s-5,1.0,6,-5,975.0,0.8999310854408477,0.8010836499200585,39.5
standard,BCwave_b1n6s-5,1.0,6,-5,1000.0,0.019481934147875614,0.7985690479770189,39.5
standard,BCwave_b1n6,1.0,6,0,10.0,0.016712818880397308,0.0059018363422258715,44.5
standard,BCwave_b1n6,1.0,6,0,50.0,0.02879938086205382,0.006630073002861293,44.5
standard,BCwave_b1n6,1.0,6,0,100.0,0.4059017635881901,0.051389375908835896,44.5
standard,BCwave_b1n6,1.0,6,0,150.0,1.807021658619245,0.17436791338732785,44.5
standard,BCwave_b1n6,1.0,6,0,200.0,4.215028650230831,0.32017808808972403,44.5
standard,BCwave_b1n6,1.0,6,0,250.0,7.097367889351315,0.4052993331949822,44.5
standard,BCwave_b1n6,1.0,6,0,300.0,9.890112800068325,0.4043503578272737,44.5
standard,BCwave_b1n6,1.0,6,0,400.0,13.860866400930616,0.22895377404026923,44.5
standard,BCwave_b1n6,1.0,6,0,500.0,15.003691538174946,0.035834353606752016,44.5
standard,BCwave_b1n6,1.0,6,0,600.0,13.75764726003011,0.31137691105433574,44.5
standard,BCwave_b1n6,1.0,6,0,700.0,10.973936404122247,0.5416718174535453,44.5
standard,BCwave_b1n6,1.0,6,0,850.0,5.536325188477834,0.7845782599689891,44.5
standard,BCwave_b1n6,1.0,6,0,925.0,2.7198237776756287,0.8681313420149336,44.5
standard,BCwave_b1n6,1.0,6,0,975.0,0.9008129903011852,0.8899860751524715,44.5
standard,BCwave_b1n6,1.0,6,0,1000.0,0.02038146246052545,0.8886513975991481,44.5
standard,BCwave_b1n6s5,1.0,6,5,10.0,0.017944975721992603,0.006408777160906196,49.5
standard,BCwave_b1n6s5,1.0,6,5,50.0,0.03007092099610923,0.007205515884200184,49.5
standard,BCwave_b1n6s5,1.0,6,5,100.0,0.4076443924672074,0.05599710006656487,49.5
standard,BCwave_b1n6s5,1.0,6,5,150.0,1.8094800654384824,0.1915884066931674,49.5
standard,BCwave_b1n6s5,1.0,6,5,200.0,4.2179538872506885,0.3528382063281759,49.5
