case,b,n,s,mode,threshold_hpa,time_index,time_hour,target_id,n_source_ids,source_ids,source_1_id,source_2_id,source_1_overlap_pixels,source_2_overlap_pixels,child_area_km2,child_equivalent_radius_km,child_centroid_lat,child_centroid_lon,child_meridional_extent_km,child_zonal_extent_km,child_minimum_hpa,child_mean_hpa,child_touches_south_boundary,child_touches_north_boundary,child_touches_longitude_seam,parent_1_area_km2,parent_1_equivalent_radius_km,parent_1_centroid_lat,parent_1_centroid_lon,parent_1_meridional_extent_km,parent_1_zonal_extent_km,parent_1_minimum_hpa,parent_1_mean_hpa,parent_1_touches_south_boundary,parent_1_touches_north_boundary,parent_1_touches_longitude_seam,parent_2_area_km2,parent_2_equivalent_radius_km,parent_2_centroid_lat,parent_2_centroid_lon,parent_2_meridional_extent_km,parent_2_zonal_extent_km,parent_2_minimum_hpa,parent_2_mean_hpa,parent_2_touches_south_boundary,parent_2_touches_north_boundary,parent_2_touches_longitude_seam,full_event_index,partition,matched_eddy_event,track_target_distance_deg,primary_track_id,secondary_track_id,primary_first_time_index,secondary_first_time_index,primary_marker_lat,primary_marker_lon,secondary_marker_lat,secondary_marker_lon,track_target_lat,track_target_lon,selection_rule,available_minus24,available_plus24,available_plus48,atlas_event_id,page,row_on_page,hemisphere
BCwave_b1n1,1.0,1,0,full,990.0,293,294,1.0,2.0,1;2,1.0,2.0,311.0,159.0,3081795.9057823624,990.4373296737436,58.82874840467421,99.79763475339328,1667.925,2877.7141543498687,963.9513549804688,978.5005493164062,False,False,False,1894741.748127854,776.6048095358757,60.42553888532812,108.9092765274962,1556.73,1536.661418049939,964.02294921875,977.17578125,False,False,False,1117828.8460888886,596.5031205044213,55.9276969055378,83.56405397828482,889.56,1370.506189719527,969.3989868164062,980.9093627929688,False,False,False,0,local_wave_scale_coalescence,True,2.8421709430404014e-14,1,2,210,240,60.42553888532814,108.9092765274962,55.92769690553778,83.56405397828482,58.82874840467424,99.79763475339328,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,11,2,3,NH
BCwave_b1n3,1.0,3,0,full,990.0,335,336,1.0,2.0,1;2,1.0,2.0,297.0,32.0,2399904.6014154404,874.0213730387286,54.25874915616992,111.78741941939334,1445.535,2857.881865038976,974.2135009765624,983.0418090820312,False,False,False,2103922.169237392,818.3515297410449,54.91458563788959,113.98073028533614,1111.9499999999998,2109.18007984938,974.1882934570312,982.4249267578124,False,False,False,266091.4966825842,291.03187801941544,49.26732157254722,92.50286253989286,333.585,798.1396590729681,984.9793701171876,987.6951293945312,False,False,False,0,full_field_only_zonalization_signature,False,2.131628207280301e-14,1,2,215,243,54.9145856378896,113.98073028533614,49.26732157254721,92.50286253989286,54.2587491561699,111.78741941939334,first NH primary-track coalescence; exact 2-to-1 only,True,True,False,12,2,4,NH
BCwave_b1n6,1.0,6,0,full,990.0,349,350,1.0,2.0,1;2,1.0,2.0,214.0,22.0,1794569.1775108406,755.7970035944933,53.60706952579525,109.9616098514864,1223.145,2507.018440288716,979.1492919921876,984.8821411132812,False,False,False,1559496.4257822384,704.5588192583872,54.0742572836866,111.87250015016332,1111.9499999999998,1761.5376935738902,979.07421875,984.373779296875,False,False,False,192206.43283874867,247.34835305838303,49.61250770731259,91.85261852461214,222.39,720.4920514381271,986.7552490234376,988.2376098632812,False,False,False,0,full_field_only_zonalization_signature,False,1.4210854715202004e-14,1,2,225,257,54.07425728368661,111.87250015016332,49.61250770731259,91.85261852461214,53.60706952579526,109.9616098514864,first NH primary-track coalescence; exact 2-to-1 only,True,False,False,13,2,5,NH
BCwave_b15n1,1.5,1,0,full,990.0,261,262,1.0,2.0,1;3,1.0,3.0,467.0,237.0,4312758.793349528,1171.6628186680805,60.646325272797554,112.28784922787682,2001.51,3215.954250159157,949.8545532226562,974.099365234375,False,False,False,2672427.712207815,922.312398760462,62.00960124811573,123.54591854059778,2112.705,1826.52531050976,950.1707153320312,972.2476806640624,False,False,False,1555800.5922593365,703.7234609182385,58.067931080466266,92.7279965163704,1223.145,1411.500688017739,960.5095825195312,978.1788330078124,False,False,False,0,local_wave_scale_coalescence,True,1.4210854715202004e-14,1,2,187,212,62.00960124811574,123.54591854059778,58.067931080466266,92.7279965163704,60.64632527279757,112.28784922787683,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,14,2,6,NH
BCwave_b15n3,1.5,3,0,full,990.0,289,290,2.0,2.0,2;3,2.0,3.0,373.0,143.0,3737342.587840417,1090.7030273018026,55.09858682092191,113.33082493524832,1779.12,3244.722495375964,964.8367309570312,979.0473022460938,False,False,False,2550280.166702834,900.9880074673348,56.10000603779007,121.55913663139448,1779.12,1860.553730016009,965.0631103515624,977.4949951171876,False,False,False,1087480.0215389817,588.3499314890922,52.81476402109365,93.403068636522,889.56,1478.522617476453,973.6290893554688,982.6932983398438,False,False,False,0,full_field_only_zonalization_signature,False,0.0,1,2,194,219,56.10000603779006,121.55913663139448,52.81476402109366,93.403068636522,55.09858682092191,113.33082493524832,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,15,2,7,NH
BCwave_b15n6,1.5,6,0,full,990.0,314,315,1.0,2.0,1;2,1.0,2.0,312.0,104.0,3059938.8869926464,986.9188410644437,54.19944770317126,114.33004046946894,1445.535,3057.126186388499,970.2860717773438,981.4224853515624,False,False,False,2191274.2962888554,835.1672119097897,55.13108624905456,121.16787814161368,1445.535,1843.537874789056,970.3798217773438,980.210693359375,False,False,False,838745.3789137295,516.7019896412337,51.82024215299056,95.24588340285416,778.365,1305.9278620487642,978.6099853515624,985.0020751953124,False,False,False,0,full_field_only_zonalization_signature,False,7.105427357601002e-15,1,2,201,232,55.13108624905455,121.16787814161368,51.82024215299054,95.24588340285416,54.19944770317127,114.33004046946894,first NH primary-track coalescence; exact 2-to-1 only,True,True,False,16,2,8,NH
BCwave_b2n1,2.0,1,0,full,990.0,246,247,1.0,2.0,1;3,1.0,3.0,581.0,268.0,5127061.372011054,1277.495331413054,61.36229337394197,122.935810995633,2668.68,3570.5893672636457,939.8555297851562,971.64306640625,False,False,False,3298112.8652654225,1024.608184021547,61.99556662229306,135.1265930818325,2668.68,2036.208996727418,940.31201171875,969.451171875,False,False,False,1709396.9290873548,737.6435059977937,59.40608100321794,98.73874863115924,1445.535,1471.41024792754,954.8814086914062,976.5313720703124,False,False,False,0,full_field_only_zonalization_signature,False,0.0,1,2,176,201,61.99556662229306,135.1265930818325,59.40608100321794,98.73874863115924,61.36229337394197,122.935810995633,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,17,3,1,NH
BCwave_b2n3,2.0,3,0,full,990.0,282,283,2.0,2.0,2;3,2.0,3.0,475.0,216.0,4899770.149982233,1248.8575894663009,56.271960746878925,122.16008543090784,2112.705,3642.730244912933,956.6359252929688,975.9130249023438,False,False,False,3176504.8321961383,1005.5410939382904,56.9135246903933,132.25989985501437,2001.51,2063.861803141024,956.981201171875,973.6217651367188,False,False,False,1565062.8721094795,705.815120758719,54.44744323543736,100.56157831024284,1111.9499999999998,1551.7026254313907,966.47412109375,979.9808959960938,False,False,False,0,full_field_only_zonalization_signature,False,1.4210854715202004e-14,1,2,186,210,56.9135246903933,132.25989985501434,54.447443235437376,100.56157831024284,56.27196074687894,122.16008543090784,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,18,3,2,NH
BCwave_b2n6,2.0,6,0,full,990.0,307,308,1.0,2.0,1;2,1.0,2.0,408.0,166.0,4165235.551745247,1151.4493711860318,55.01048068765572,121.27931334523365,1779.12,3443.1571348908665,963.945068359375,979.1527099609376,False,False,False,2810061.636202112,945.7644524874736,55.875679568383696,130.08833138416915,1779.12,1996.1385952824053,963.9962768554688,977.4315795898438,False,False,False,1254025.4658457646,631.7979924825185,52.9384569442626,100.68379535999748,1000.755,1474.3117426572794,973.4556884765624,982.8834838867188,False,False,False,0,full_field_only_zonalization_signature,False,1.4210854715202004e-14,1,2,194,224,55.87567956838368,130.08833138416915,52.9384569442626,100.68379535999748,55.01048068765571,121.27931334523365,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,19,3,3,NH
BCwave_b1n1s5,1.0,1,5,full,990.0,282,283,2.0,2.0,2;5,2.0,5.0,393.0,216.0,3205969.367480954,1010.1939142914996,65.22159598677204,108.14896627555405,1890.315,2796.175467764661,957.9829711914062,976.2731323242188,False,False,False,1830635.8777901423,763.3541104253936,67.35915996027381,119.8377718252519,1556.73,1498.1708102484222,958.0630493164062,974.7909545898438,False,False,False,1266773.17835018,635.001123007924,61.99466070004669,90.0993402931542,1000.755,1409.725063017083,962.1378173828124,978.3796997070312,False,False,False,1,local_wave_scale_coalescence,True,1.4210854715202004e-14,1,2,199,226,67.3591599602738,119.8377718252519,61.994660700046666,90.0993402931542,65.22159598677206,108.14896627555405,first NH primary-track coalescence; exact 2-to-1 only,True,True,True,20,3,4,NH
