figure,ensemble,b,metric,pressure_hpa,mean,bootstrap_ci_low,bootstrap_ci_high,n_ns_groups,group_mean_peak_abs_pressure_hpa,group_mean_peak_value
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_vertical_wind_shear,200.0,-2.481111604720354,-2.6695790929564582,-2.2908425909311823,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_vertical_wind_shear,250.0,-3.117302401612202,-3.3552091013795384,-2.8765851088489094,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_vertical_wind_shear,300.0,-3.1378318400432668,-3.3776114927604795,-2.8950879552091164,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_vertical_wind_shear,400.0,-1.8316970905289054,-1.97085348093727,-1.6914878878742456,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_vertical_wind_shear,500.0,0.29361299239099026,0.2714221027660339,0.3157272479923753,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_vertical_wind_shear,600.0,2.572551198924581,2.369963111511121,2.77494656930988,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_vertical_wind_shear,700.0,4.4338947006811695,4.070430155455446,4.794860240848114,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_vertical_wind_shear,850.0,6.160005244115989,5.640967450259875,6.675788417148093,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_vertical_wind_shear,925.0,6.55447393655777,5.9995350187333925,7.105781385519852,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_vertical_wind_shear,975.0,6.624835294981797,6.063812764671942,7.182195838540792,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_vertical_wind_shear,1000.0,6.627857405692339,6.067047193646431,7.185248270786056,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_vertical_wind_shear,10.0,0.48921980196610093,0.45252876768548356,0.5257131280571533,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_vertical_wind_shear,50.0,-0.955716617560635,-1.0268760755813369,-0.8842236468141588,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_vertical_wind_shear,100.0,-1.9734324654564261,-2.120891670929268,-1.825610815625017,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_vertical_wind_shear,150.0,-2.3457399181400738,-2.520826342127596,-2.1699983793466044,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_vertical_wind_shear,200.0,-2.0971553788209953,-2.2537119938836745,-1.9400286606590573,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_vertical_wind_shear,250.0,-1.4930203945065539,-1.604425052452522,-1.381240279103319,15,,
